run_utc	doc_id	topic_id	topic_label	confidence	matched_terms	source_system	document_type	doc_date	url	title
20260214T040204Z	doc-doj-opa-first-phase	doj_release_operations	DOJ Release Operations	0.79	attorney general, declassified epstein files, doj opa	justice_opa	agency_release	2025-02-27	https://www.justice.gov/opa/pr/attorney-general-pamela-bondi-releases-first-phase-declassified-epstein-files	Attorney General Pamela Bondi releases first phase of declassified Epstein files
20260214T040204Z	doc-doj-opa-first-phase	congressional_oversight	Congressional Oversight	0.63	bondi	justice_opa	agency_release	2025-02-27	https://www.justice.gov/opa/pr/attorney-general-pamela-bondi-releases-first-phase-declassified-epstein-files	Attorney General Pamela Bondi releases first phase of declassified Epstein files
20260214T040204Z	doc-doj-opa-first-phase	unsealing_and_access	Unsealing and Access	0.71	release, files	justice_opa	agency_release	2025-02-27	https://www.justice.gov/opa/pr/attorney-general-pamela-bondi-releases-first-phase-declassified-epstein-files	Attorney General Pamela Bondi releases first phase of declassified Epstein files
20260214T040204Z	doc-govtrack-hr4405	transparency_legislation	Transparency Legislation	0.71	transparency act, h.r. 4405	govtrack	congressional_bill	2025-07-15	https://www.govtrack.us/congress/bills/119/hr4405	Epstein Files Transparency Act (H.R. 4405) - GovTrack.us
20260214T040204Z	doc-govtrack-hr4405	unsealing_and_access	Unsealing and Access	0.63	files	govtrack	congressional_bill	2025-07-15	https://www.govtrack.us/congress/bills/119/hr4405	Epstein Files Transparency Act (H.R. 4405) - GovTrack.us
20260214T040204Z	doc-govtrack-action-01-19481d7c69e0	transparency_legislation	Transparency Legislation	0.63	h.r. 4405	govtrack	bill_action	2025-07-15	https://www.govtrack.us/congress/bills/119/hr4405#status-row-grid	Introduced
20260214T040204Z	doc-govtrack-action-01-19481d7c69e0	unsealing_and_access	Unsealing and Access	0.63	files	govtrack	bill_action	2025-07-15	https://www.govtrack.us/congress/bills/119/hr4405#status-row-grid	Introduced
20260214T040204Z	doc-govinfo-transcript-3a3036445819	congressional_record_activity	Congressional Record Activity	0.63	release the epstein files	govinfo_wssearch	congressional_record_transcript	2025-07-16	https://www.govinfo.gov/content/pkg/CREC-2025-07-16/html/CREC-2025-07-16-pt1-PgH3324-2.htm	RELEASE THE EPSTEIN FILES
20260214T040204Z	doc-govinfo-transcript-3a3036445819	unsealing_and_access	Unsealing and Access	0.71	release, files	govinfo_wssearch	congressional_record_transcript	2025-07-16	https://www.govinfo.gov/content/pkg/CREC-2025-07-16/html/CREC-2025-07-16-pt1-PgH3324-2.htm	RELEASE THE EPSTEIN FILES
20260214T040204Z	doc-govinfo-transcript-2907b4a49c3e	congressional_record_activity	Congressional Record Activity	0.63	executive session	govinfo_wssearch	congressional_record_transcript	2025-07-17	https://www.govinfo.gov/content/pkg/CREC-2025-07-17/html/CREC-2025-07-17-pt1-PgS4440-3.htm	Jeffrey Epstein (Executive Session)
