run_utc	entity_id	entity_type	canonical_name	alias_name	normalized_alias_name	alias_type	resolution_method	similarity	source	source_doc_id	source_url
20260217T090720Z	entity-66f129ec3d0de354	person	Sarah Ferguson	Sarah Ferguson	sarah ferguson	canonical	exact	1.00	canonical_seed		
20260217T090720Z	entity-66f129ec3d0de354	person	Sarah Ferguson	Sarah Ferguson	sarah ferguson	profile_slug	canonical_create	1.00	profiles		
20260217T090720Z	entity-38278b8370613fbb	person	Sarah Kellen	Sarah Kellen	sarah kellen	canonical	exact	1.00	canonical_seed		
20260217T090720Z	entity-38278b8370613fbb	person	Sarah Kellen	Sarah Kellen	sarah kellen	profile_slug	canonical_create	1.00	profiles		
20260217T090720Z	entity-b8e4d7b6ef48b86d	person	Sarah Ransome	Sarah Ransome	sarah ransome	canonical	exact	1.00	canonical_seed		
20260217T090720Z	entity-b8e4d7b6ef48b86d	person	Sarah Ransome	Sarah Ransome	sarah ransome	profile_slug	canonical_create	1.00	profiles		
20260217T090720Z	entity-8ea464fc7534ce4f	person	Sergey Brin	Sergey Brin	sergey brin	canonical	exact	1.00	canonical_seed		
20260217T090720Z	entity-8ea464fc7534ce4f	person	Sergey Brin	Sergey Brin	sergey brin	profile_slug	canonical_create	1.00	profiles		
20260217T090720Z	entity-b95367556c1a26df	person	Steve Bannon	Steve Bannon	steve bannon	canonical	exact	1.00	canonical_seed		
20260217T090720Z	entity-b95367556c1a26df	person	Steve Bannon	Steve Bannon	steve bannon	profile_slug	canonical_create	1.00	profiles		
20260217T090720Z	entity-49cc77e32a9b1d9e	person	Steve Tisch	Steve Tisch	steve tisch	canonical	exact	1.00	canonical_seed		
20260217T090720Z	entity-49cc77e32a9b1d9e	person	Steve Tisch	Steve Tisch	steve tisch	profile_slug	canonical_create	1.00	profiles		
20260217T090720Z	entity-928cdf9846dba2ab	person	Sultan Ahmed Bin Sulayem	Sultan Ahmed Bin Sulayem	sultan ahmed bin sulayem	canonical	exact	1.00	canonical_seed		
20260217T090720Z	entity-928cdf9846dba2ab	person	Sultan Ahmed Bin Sulayem	Sultan Ahmed Bin Sulayem	sultan ahmed bin sulayem	profile_slug	canonical_create	1.00	profiles		
20260217T090720Z	entity-5b7413741ca3f7dc	person	Terje Rod Larsen	Terje Rod Larsen	terje rod larsen	canonical	exact	1.00	canonical_seed		
20260217T090720Z	entity-5b7413741ca3f7dc	person	Terje Rod Larsen	Terje Rod Larsen	terje rod larsen	profile_slug	canonical_create	1.00	profiles		
20260217T090720Z	entity-3672e8ded5e31ce6	person	The Dream Team Defense	The Dream Team Defense	the dream team defense	canonical	exact	1.00	canonical_seed		
20260217T090720Z	entity-3672e8ded5e31ce6	person	The Dream Team Defense	The Dream Team Defense	the dream team defense	profile_slug	canonical_create	1.00	profiles		
20260217T090720Z	entity-983fc8c874d896dd	person	The Epstein Files Transparency	The Epstein Files Transparency	the epstein files transparency	canonical	exact	1.00	canonical_seed		
20260217T090720Z	entity-983fc8c874d896dd	person	The Epstein Files Transparency	The Epstein Files Transparency	the epstein files transparency	extracted_variant	canonical_create	1.00	claim_registry		
20260217T090720Z	entity-4a05c0472738a6ce	person	The Hollywood Circle	The Hollywood Circle	the hollywood circle	canonical	exact	1.00	canonical_seed		
