run_utc	dataset_number	dataset_url	listing_page_url	file_url	file_name
20260219T011825Z	2	https://www.justice.gov/epstein/doj-disclosures/data-set-2-files	https://www.justice.gov/epstein/doj-disclosures/data-set-2-files	https://www.justice.gov/epstein/files/DataSet%202/EFTA00003170.pdf	EFTA00003170.pdf
20260219T011825Z	2	https://www.justice.gov/epstein/doj-disclosures/data-set-2-files	https://www.justice.gov/epstein/doj-disclosures/data-set-2-files	https://www.justice.gov/epstein/files/DataSet%202/EFTA00003171.pdf	EFTA00003171.pdf
20260219T011825Z	2	https://www.justice.gov/epstein/doj-disclosures/data-set-2-files	https://www.justice.gov/epstein/doj-disclosures/data-set-2-files	https://www.justice.gov/epstein/files/DataSet%202/EFTA00003172.pdf	EFTA00003172.pdf
20260219T011825Z	2	https://www.justice.gov/epstein/doj-disclosures/data-set-2-files	https://www.justice.gov/epstein/doj-disclosures/data-set-2-files	https://www.justice.gov/epstein/files/DataSet%202/EFTA00003173.pdf	EFTA00003173.pdf
20260219T011825Z	2	https://www.justice.gov/epstein/doj-disclosures/data-set-2-files	https://www.justice.gov/epstein/doj-disclosures/data-set-2-files	https://www.justice.gov/epstein/files/DataSet%202/EFTA00003174.pdf	EFTA00003174.pdf
20260219T011825Z	2	https://www.justice.gov/epstein/doj-disclosures/data-set-2-files	https://www.justice.gov/epstein/doj-disclosures/data-set-2-files	https://www.justice.gov/epstein/files/DataSet%202/EFTA00003175.pdf	EFTA00003175.pdf
20260219T011825Z	2	https://www.justice.gov/epstein/doj-disclosures/data-set-2-files	https://www.justice.gov/epstein/doj-disclosures/data-set-2-files	https://www.justice.gov/epstein/files/DataSet%202/EFTA00003176.pdf	EFTA00003176.pdf
20260219T011825Z	2	https://www.justice.gov/epstein/doj-disclosures/data-set-2-files	https://www.justice.gov/epstein/doj-disclosures/data-set-2-files	https://www.justice.gov/epstein/files/DataSet%202/EFTA00003177.pdf	EFTA00003177.pdf
20260219T011825Z	2	https://www.justice.gov/epstein/doj-disclosures/data-set-2-files	https://www.justice.gov/epstein/doj-disclosures/data-set-2-files	https://www.justice.gov/epstein/files/DataSet%202/EFTA00003178.pdf	EFTA00003178.pdf
20260219T011825Z	2	https://www.justice.gov/epstein/doj-disclosures/data-set-2-files	https://www.justice.gov/epstein/doj-disclosures/data-set-2-files	https://www.justice.gov/epstein/files/DataSet%202/EFTA00003179.pdf	EFTA00003179.pdf
